team,task,release_stage,timing,localization,new_or_update,audience,default_owner,dependencies,L1,L2,L3,L4
PRODUCT MANAGEMENT - Pre-Kickoff Requirements,PR / FAQ,,,FALSE,,Internal,,,1,1,0,0
PRODUCT MANAGEMENT - Pre-Kickoff Requirements,Business Case Doc/PRD,,,FALSE,,Internal,,,1,1,0,0
PRODUCT MANAGEMENT - Pre-Kickoff Requirements,Define Launch Objectives & KPIs,,,FALSE,,Internal,,,1,1,1,0
PRODUCT MANAGEMENT - Pre-Kickoff Requirements,Release Planning Document,,,FALSE,,Internal,,,1,1,1,0
PRODUCT MANAGEMENT - Pre-Kickoff Requirements,GTM Kickoff Launch Deck,,,FALSE,,Internal,,,1,1,0,0
PRODUCT MARKETING,Evergreen Product Messaging & Positioning Document,,,FALSE,,Internal,,,1,1,1,0
PRODUCT MARKETING,Product Naming,,,FALSE,,Internal,,,1,0,0,0
PRODUCT MARKETING,Product 101 Slides,,,FALSE,,"Customers, Partners, Prospects",,,1,1,1,0
PRODUCT MARKETING,Product Brochure,,,FALSE,,Partners,,,1,1,0,0
PRODUCT MARKETING,Product Overview/Marketing Video,,,FALSE,,"Partners, Customers, Prospects",,,1,1,0,0
PRODUCT MARKETING,Product 201 Slides (Sales/Training Slides),,,FALSE,,Internal,,,1,1,0,0
PRODUCT MARKETING,Partner Announcement / Dedicated Email,,,FALSE,,"Partners, Customers",,,1,0,0,0
PRODUCT MARKETING,Partner Dispatch Copy,,,FALSE,,Partners,,,1,1,0,0
PRODUCT MARKETING,FAQs/Objection Handling (Part of SE Playbook),,,FALSE,,Internal,,,1,1,0,0
PRODUCT MARKETING,Battlecards,,,FALSE,,Internal,,,1,1,0,0
PRODUCT MARKETING,Dedicated Customer Email Copy,,,FALSE,,Customers,,,1,0,0,0
PRODUCT MARKETING,In-App Release Messaging in Pendo (Technical Content Solutions),,,FALSE,,,,,1,1,1,1
PRODUCT MARKETING,What's New Email Inclusion/Copy,,,FALSE,,"Customers, Partners",,,1,1,1,1
PRODUCT MARKETING,"Web Page(s) - Product, Family and Pillar Solutions",,,FALSE,,"Partners, Customers, Prospects",,,1,1,0,0
LEARNING & MULTIMEDIA,Partner/User/Product or Installation Guides (Tech. Content Solutions),,,FALSE,,,,,1,1,1,1
LEARNING & MULTIMEDIA,"Release-related Content (Release Notes, What's New) (Tech. Content Solutions)",,,FALSE,,,,,1,1,1,1
LEARNING & MULTIMEDIA,Training Content: Courses (Learning Design) - SE is a stakeholder,,,FALSE,,,,,1,1,1,1
LEARNING & MULTIMEDIA,Training Content: How-To Tutorials & Videos (Learning Design),,,FALSE,,,,,1,1,1,1
LEARNING & MULTIMEDIA,In App (WalkMe) and/or Geotab Academy Updates (Learning Design),,,FALSE,,,,,1,1,1,0
LEARNING & MULTIMEDIA,"MyLearning, In App Training (WalkMe) or Geotab Academy Updates (Learning Design)",,,FALSE,,,,,1,1,1,1
LEARNING & MULTIMEDIA,Training Content: Installation Videos (Learning Design),,,FALSE,,,,,1,1,1,1
LEARNING & MULTIMEDIA,Product Demos (Learning Design),,,FALSE,,,,,1,1,0,0
